Reaction,Name,Subsystem,Unconstrained_Flux,Constrained_Flux,Difference,Formula
GGTAe2,Gamma glutamyltransferase,,0.0,186.31499999999986,186.31499999999986,gthrd_e + h2o_e <=> cgly_e + glu__L_e
RE3016R,RE3016,,-184.70920493415622,0.0,184.70920493415622,h2o_r + h_r + leuktrB4wcooh_r <=> CE3554_r
RE3011R,Alcohol Dehydrogenase,,-184.7092049341562,0.0,184.7092049341562,leuktrB4woh_r + nad_r <=> CE2053_r + h_r + nadh_r
RE3012R,Aldehyde Dehydrogenase (NAD+),,-184.7092049341562,0.0,184.7092049341562,CE2053_r + h2o_r + nad_r <=> 2.0 h_r + leuktrB4wcooh_r + nadh_r
RE3015R,Leukotriene-B4 20-Monooxygenase,,184.70920493415616,0.0,184.70920493415616,CE2056_r + h_r + nadph_r + o2_r --> CE3554_r + h2o_r + nadp_r
RE3014R,Leukotriene-B4 20-Monooxygenase,,184.70920493415616,0.0,184.70920493415616,h_r + leuktrB4woh_r + nadph_r + o2_r --> CE2056_r + h2o_r + nadp_r
MVLACte,Transport of Mevalonate-Lactone,,154.9918392804652,0.0,154.9918392804652,mvlac_c --> mvlac_e
MVLACc,Formation of Mevalonate-Lactone,,154.9918392804652,0.0,154.9918392804652,h_c + mev__R_c --> h2o_c + mvlac_c
HMGCOAR,Hydroxymethylglutaryl CoA reductase,,-154.9918392804652,-1.3662209241733292e-18,154.9918392804652,coa_c + mev__R_c + 2.0 nadp_c <=> 2.0 h_c + hmgcoa_c + 2.0 nadph_c
ADK3m,Adentylate kinase  GTP,,153.6017488778861,0.0,153.6017488778861,amp_m + gtp_m <=> adp_m + gdp_m
SUCOAS1m,Succinyl-CoA ligase (GDP-forming),,-153.6017488778861,0.0,153.6017488778861,coa_m + gtp_m + succ_m <=> gdp_m + pi_m + succoa_m
HMGCOAtm,Hydroxymethylglutaryl CoA reversible mitochondrial transport,,153.33093749214225,0.0,153.33093749214225,hmgcoa_c <=> hmgcoa_m
