Reaction,Name,Subsystem,Unconstrained_Flux,Constrained_Flux,Difference,Formula
ATPM,ATP maintenance requirement,,10000.0,256.9602632841548,9743.039736715846,atp_c + h2o_c --> adp_c + h_c + pi_c
H2Ot,H2O transport via diffusion,,1000.0,-379.1549999999999,1379.155,h2o_e <=> h2o_c
GDHm,"Glutamate dehydrogenase, mitochondria",,-1000.0,0.11500000000000002,1000.115,glu__L_m + h2o_m + nad_m <=> akg_m + h_m + nadh_m + nh4_m
ADK1,Adenylate kinase,,-1000.0,0.05000000000000004,1000.05,amp_c + atp_c <=> 2.0 adp_c
r0642,"(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase Valine, leucine and isoleucine degradation EC:1.2.1.3",,-1000.0000000000002,0.0,1000.0000000000002,2mop_c + h2o_c + nad_c <=> HC00900_c + 2.0 h_c + nadh_c
DEOXFVShc,Formation of deoxy-fluvastatin-dinor,,1000.0000000000002,0.0,1000.0000000000002,coa_x + fvs_x + h2o_x + nad_x --> accoa_x + deoxfvs_x + h2o2_x + h_x + nadh_x
2MOPtm,"Transport of 2-Methyl-3-Oxopropanoate, Mitochondrial",,1000.0000000000002,0.0,1000.0000000000002,2mop_c --> 2mop_m
PIt2r,Phosphate reversible transport via symport,,-1000.0,1.38809476372765e-13,1000.0000000000001,h_e + pi_e <=> h_c + pi_c
3AIB_Dtm,Transport of 3aib D into mitochondria,,-1000.0000000000001,0.0,1000.0000000000001,3aib__D_c <=> 3aib__D_m
DEOXFVSitx,DEOXFVSitx,,-1000.0000000000001,0.0,1000.0000000000001,deoxfvs_c <=> deoxfvs_x
FVSitx,FVSitx,,1000.0000000000001,0.0,1000.0000000000001,fvs_c <=> fvs_x
r0196,Succinyl Coenzyme A:Glycine C-Succinyl-Transferase (Decarboxylating),,-1000.0000000000001,0.0,1000.0000000000001,gly_m + succoa_m <=> HC01496_m + coa_m
r1116,ATP Exporter (ATP-E) TCDB:9.A.6.1.1,,-1000.0000000000001,0.0,1000.0000000000001,atp_c <=> atp_e
r0517,Succinyl Coenzyme A:Glycine C-Succinyl-Transferase (Decarboxylating),,-1000.0000000000001,0.0,1000.0000000000001,HC01496_m + h_m <=> 5aop_m + co2_m
Htmi,Htmi,,1000.0,0.0,1000.0,h_i --> h_m
IMPtr,Transport of IMP,,-1000.0,0.0,1000.0,imp_e <=> imp_c
DRPA,Deoxyribose-phosphate aldolase,,1000.0,0.0,1000.0,2dr5p_c --> acald_c + g3p_c
5AOPtm,5 Aminolevulinate mitochondrial transport,,1000.0,0.0,1000.0,5aop_c <=> 5aop_m
PIt,"Inorganic phosphate exchange, diffusion",,1000.0,0.0,1000.0,pi_c --> pi_e
5AOPt2,5 Aminolevulinate transport in via proton symport,,1000.0,0.0,1000.0,5aop_e + h_e --> 5aop_c + h_c
DEOXFVStev,Exit of deoxy-fluvastatin-dinor into hepatic vein for excretion in urine,,1000.0,0.0,1000.0,deoxfvs_c <=> deoxfvs_e
r0892,Facilitated diffusion,,-1000.0,0.0,1000.0,utp_c <=> utp_e
MALt,"Malate exchange, diffusion",,-1000.0,0.0,1000.0,mal__L_e <=> mal__L_c
PIt8,Phosphate transport in/out via Na+ symporter,,-1000.0,0.0,1000.0,1.5 na1_e + pi_e <=> 1.5 na1_c + pi_c
D_3AIBt,D-3-amino-isobutyrate transport,,1000.0,0.0,1000.0,3aib__D_c --> 3aib__D_e
r0483,(R)-3-Amino-2-methylpropanoate:2-oxoglutarate aminotransferase EC:2.6.1.22,,-1000.0,0.0,1000.0,3aib__D_m + akg_m <=> 2mop_m + glu__L_m
O2St,Superoxide anion transport via diffusion (extracellular),,-1000.0,0.0,1000.0,o2s_c <=> o2s_e
FVStep,Efflux of fluvastatin from enterocytes into portal blood,,-1000.0,0.0,1000.0,fvs_c <=> fvs_e
NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP),,-1000.0,0.0,1000.0,atp_c + dudp_c <=> adp_c + dutp_c
r0707,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate phosphohydrolase (alkaline optimum) Folate biosynthesis EC:3.1.3.1",,-1000.0,0.0,1000.0,ahdt_e + 3.0 h2o_e <=> HC01361_e + 2.0 h_e + 3.0 pi_e
HC00900t4,"Transport of Methylmalonate, Antiport with Phsophate",,-1000.0,0.0,1000.0,HC00900_c + pi_e <=> HC00900_e + pi_c
PYRSMCT1,Pyruvate Transport by Smct1,,-1000.0,0.0,1000.0,na1_e + pyr_e <=> na1_c + pyr_c
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",,1000.0,0.0,1000.0,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
SK_tyr__L_c,Sink tyr L[c],,-1000.0,0.0,1000.0,tyr__L_c <=> 
SK_arg__L_c,Sink arg L[c],,-1000.0,0.0,1000.0,arg__L_c <=> 
AMPDA,Adenosine monophosphate deaminase,,1000.0,0.0,1000.0,amp_c + h2o_c + h_c --> imp_c + nh4_c
GLCNte,Assumed Passive Diffusion into Extracellular Space,,999.9999999999999,0.0,999.9999999999999,glcn_c <=> glcn_e
GNK,Gluconokinase,,-999.9999999999999,0.0,999.9999999999999,atp_c + glcn_c <=> 6pgc_c + adp_c + h_c
PPM2,Phosphopentomutase 2 (deoxyribose),,999.9999999999998,0.0,999.9999999999998,2dr1p_c <=> 2dr5p_c
HMR_3953,HMR 3953,,-999.9999999999997,0.0,999.9999999999997,6pgc_c <=> 6pgc_r
PGLer,"6-phosphogluconolactonase, endoplasmic reticulum",,999.9999999999995,0.0,999.9999999999995,6pgl_r + h2o_r --> 6pgc_r + h_r
RNDR4,Ribonucleoside-diphosphate reductase (UDP),,1000.0,0.009999999999999969,999.99,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
GLYtm,Glycine passive transport to mitochondria,,-1000.0,-0.024999999999999994,999.975,gly_c <=> gly_m
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,,1000.0,2.0316666666666663,997.9683333333334,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c
PYK,Pyruvate kinase,,1000.0,2.0316666666666663,997.9683333333334,adp_c + h_c + pep_c --> atp_c + pyr_c
PGM,Phosphoglycerate mutase,,-1000.0,-2.0316666666666663,997.9683333333334,2pg_c <=> 3pg_c
ENO,Enolase,,1000.0,2.0316666666666663,997.9683333333334,2pg_c <=> h2o_c + pep_c
PGK,Phosphoglycerate kinase,,-1000.0,-2.0316666666666663,997.9683333333334,3pg_c + atp_c <=> 13dpg_c + adp_c
C05957t,"Transport of Prostaglandin J2, Lactate Antiport",,-994.7079836178274,0.0,994.7079836178274,C05957_c + lac__L_e <=> C05957_e + lac__L_c
C05957td,"Transport of Prostaglandin J2, Diffusion",,994.7079836178274,0.0,994.7079836178274,C05957_c <=> C05957_e
r2112,Major Facilitator(MFS) TCDB:2.A.1.13.1,,-994.7079836178273,0.0,994.7079836178273,ac_e + lac__L_c <=> ac_c + lac__L_e
MALtm,Malate transport  mitochondrial,,-1000.0,-13.49082403742355,986.5091759625765,mal__L_c + pi_m <=> mal__L_m + pi_c
SUCOASm,Succinate  CoA ligase  ADP forming,,-1000.0,-29.133314741513736,970.8666852584863,atp_m + coa_m + succ_m <=> adp_m + pi_m + succoa_m
SK_ala__L_c,Sink ala L[c],,-926.5000604668891,0.0,926.5000604668891,ala__L_c <=> 
FUMm,Fumarase  mitochondrial,,949.6344640967691,29.143314741513738,920.4911493552553,fum_m + h2o_m <=> mal__L_m
DM_thmtp_c,Demand thmppp c,,-887.92144778959,0.0,887.92144778959,thmtp_c <=> 
THMTPt_1,Thiamine Triphosphate Transport in via Anion Antiport,,887.92144778959,0.0,887.92144778959,3.0 h2o_e + thmtp_c --> 3.0 h2o_c + thmtp_e
CO2ter,CO2 endoplasmic reticular transport via diffusion,,-875.446856408822,0.0,875.446856408822,co2_c <=> co2_r
CBPPer,"Carbamoyl phosphate phosphotransferase, endoplasmic reticulum",,875.4468564088219,0.0,875.4468564088219,cbp_r + glc__D_r + h_r --> co2_r + g6p_r + nh4_r
NH4tr,"Ammonia Er Transport, Diffusion",,-875.4468564088219,0.0,875.4468564088219,nh4_c <=> nh4_r
CBPter,"Carbamoyl phosphate transport, endoplasmic reticulum",,875.4468564088218,0.0,875.4468564088218,cbp_c + pi_c + ppi_c <=> cbp_r + pi_r + ppi_r
PPItr,"Diphosphate transporter, endoplasmic reticulum",,-875.4468564088218,0.0,875.4468564088218,ppi_c <=> ppi_r
PIter,"Phosphate transport, endoplasmic reticulum",,875.4468564088218,0.0,875.4468564088218,pi_r <=> pi_c
34HPLte,Transport of 3- (4-Hydroxyphenyl)Lactate,,859.7081212788254,0.0,859.7081212788254,34hpl_c + h_c <=> 34hpl_e + h_e
HMR_6782,(R)-4-Hydroxyphenyllactate Dehydrogenase,,859.7081212788254,0.0,859.7081212788254,34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
TYRTA,Tyrosine transaminase,,859.7081212788253,0.01,859.6981212788253,akg_c + tyr__L_c <=> 34hpp_c + glu__L_c
CYTK14,"Cytidylate kinase (dCMP,UTP)",,850.8407229258413,0.0,850.8407229258413,dcmp_c + utp_c <=> dcdp_c + udp_c
CYTDt,Cytidine facilated transport in cytosol,,-850.8407229258413,0.0,850.8407229258413,cytd_e <=> cytd_c
CYTK9,"Cytidylate kinase (CMP,dCTP)",,-850.8407229258412,0.0,850.8407229258412,cmp_c + dctp_c <=> cdp_c + dcdp_c
DUTCP,DUTP:cytidine 5'-phosphotransferase,,-850.8407229258412,0.0,850.8407229258412,cytd_c + dutp_c <=> cmp_c + dudp_c + h_c
NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),,-850.8407229258411,0.0,850.8407229258411,atp_c + cdp_c <=> adp_c + ctp_c
RNTR3,Ribonucleoside triphosphate reductase  CTP,,-850.8407229258411,-3.8503667874742214e-18,850.8407229258411,ctp_c + trdrd_c <=> dctp_c + h2o_c + trdox_c
URIDK2r,Uridylate kinase (dUMP),,-850.8407229258411,-0.009999999999999969,850.8307229258411,atp_c + dump_c <=> adp_c + dudp_c
NAt5,Sodium/ammonium proton antiporter,,-836.1481836225165,0.0,836.1481836225165,na1_c + nh4_e <=> na1_e + nh4_c
GLUt4,Na+/glutamate symport,,1000.0,186.31499999999986,813.6850000000002,glu__L_e + na1_e --> glu__L_c + na1_c
ALAARGGLYt,"Transport of AlaArgGly, Extracellular",,-798.981593426581,0.0,798.981593426581,alaarggly_e + h_e <=> alaarggly_c + h_c
ALAARGGLYr,Metabolism (Formation/Degradation) of AlaArgGly,,-798.981593426581,0.0,798.981593426581,alaarggly_c + 2.0 h2o_c <=> ala__L_c + arg__L_c + gly_c
ATPS4mi,ATP synthase (four protons for one ATP),,1000.0,239.40610591339808,760.593894086602,adp_m + 4.0 h_i + pi_m --> atp_m + h2o_m + 3.0 h_m
HMR_6611,Urate:Oxygen Oxidoreductase,,-750.97800386307,0.0,750.97800386307,h2o_c + o2_c + urate_c <=> C11821_c + h2o2_c
RE3352C,RE3352C,,-750.97800386307,0.0,750.97800386307,C11821_c + h2o_c <=> alltn_c + co2_c
ALLTNti,Allantoin irreversible uniport,,750.97800386307,0.0,750.97800386307,alltn_e <=> alltn_c
URATEt,Urate export from cytosol,,750.9780038630698,0.0,750.9780038630698,urate_c --> urate_e
NH4tm,NH3 mitochondrial transport,,724.4433962651493,-0.09,724.5333962651493,nh4_c <=> nh4_m
H2Otm,H2O transport  mitochondrial,,-1000.0,-286.70870816840585,713.2912918315942,h2o_c <=> h2o_m
PUNP4,Purine-nucleoside phosphorylase (Deoxyguanosine),,701.681445851683,0.0,701.681445851683,dgsn_c + pi_c <=> 2dr1p_c + gua_c
GUAt,Guanine transport,,-701.681445851683,0.0,701.681445851683,gua_e <=> gua_c
HMR_6359,HMR 6359,,701.6814458516828,0.0,701.6814458516828,dgsn_e + 2.0 na1_e --> dgsn_c + 2.0 na1_c
r0509,Succinate:Ubiquinone Oxidoreductase,,717.1101015013104,29.133314741513736,687.9767867597967,q10_m + succ_m --> fum_m + q10h2_m
PIt9,Phosphate transport in/out via two Na+ symporter,,-663.7643433687704,0.0,663.7643433687704,2.0 na1_e + pi_e <=> 2.0 na1_c + pi_c
ITPH2,ITP Diphosphohydrolase,,-663.7643433687703,0.0,663.7643433687703,h2o_e + itp_e <=> h_e + idp_e + pi_e
GLCter,"Glucose transport, endoplasmic reticulum",,652.1599719426823,0.0,652.1599719426823,glc__D_c <=> glc__D_r
GLCt1,Glucose transport  uniport,,652.1599719426824,1.0,651.1599719426824,glc__D_e <=> glc__D_c
G6PDH2er,Glucose 6 phosphate dehydrogenase  endoplasmic reticulum,,630.5815901316872,0.0,630.5815901316872,g6p_r + nadp_r <=> 6pgl_r + h_r + nadph_r
Htx,"H transporter, peroxisome",,1000.0,376.06307304785884,623.9369269521412,h_c <=> h_x
CYOR_u10mi,CYOR u10mi,,717.1101015013104,107.4357682619647,609.6743332393457,2.0 ficytC_m + 2.0 h_m + q10h2_m --> 2.0 focytC_m + 4.0 h_i + q10_m
DCMPDA,DCMP deaminase,,-850.8407229258412,-242.469178961257,608.3715439645841,dcmp_c + h2o_c + h_c <=> dump_c + nh4_c
TRDR,Thioredoxin reductase (NADPH),,596.6371082966349,0.0,596.6371082966349,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c
RNDR1,Ribonucleoside-diphosphate reductase (ADP),,596.6371082966346,0.0,596.6371082966346,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
MDHp,Malate dehydrogenase  peroxisomal,,-551.0795344148098,0.0,551.0795344148098,mal__L_x + nad_x <=> h_x + nadh_x + oaa_x
HMR_9680,"Oxaloacetate transport, glycosomal",,-551.0795344148098,0.0,551.0795344148098,oaa_x <=> oaa_c
MAL_Ltx,Transport reaction for malate,,551.0795344148098,0.0,551.0795344148098,mal__L_x <=> mal__L_c
MALOAAtm,"Dicarboxylate/tricarboxylate carrier (mal:oaa), mitochondrial",,-551.0795344148098,-0.010000000000002446,551.0695344148098,mal__L_m + oaa_c <=> mal__L_c + oaa_m
r2380,Mitochondrial Carrier (MC) TCDB:2.A.29.7.2,,550.5992326974699,0.0,550.5992326974699,HC00342_m + oxa_c <=> HC00342_c + oxa_m
r2379,Mitochondrial Carrier (MC) TCDB:2.A.29.7.2,,-550.5992326974699,0.0,550.5992326974699,HC00342_m + mal__L_c <=> HC00342_c + mal__L_m
AKGMALtm,"Dicarboxylate/tricarboxylate carrier (mal:akg), mitochondrial",,550.5992326974698,0.0,550.5992326974698,akg_m + mal__L_c <=> akg_c + mal__L_m
CYOOm2i,CYOOm2i,,532.8898984986895,0.0,532.8898984986895,4.0 focytC_m + 8.0 h_m + o2_m --> 4.0 ficytC_m + 2.0 h2o_m + 4.0 h_i
ASPCT,Aspartate carbamoyltransferase,,-507.1255098405965,0.0,507.1255098405965,asp__L_c + cbp_c <=> cbasp_c + h_c + pi_c
CBASPte,Transport of N-carbamoyl-L-aspartate,,507.1255098405965,0.0,507.1255098405965,cbasp_e <=> cbasp_c
ATPtm,"ADP/ATP transporter, mitochondrial",,1000.0,497.5377755787452,502.4622244212548,adp_c + atp_m --> adp_m + atp_c
SPODM,Superoxide dismutase,,500.00000000000006,3.1786344896365856e-16,500.00000000000006,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c
CATp,Catalase A  peroxisomal,,493.3444441966492,0.0,493.3444441966492,2.0 h2o2_x --> 2.0 h2o_x + o2_x
SCP3x,Peroxisomal thiolase 2,,493.3444441966492,0.0,493.3444441966492,coa_x + dhcholestancoa_x + o2_x --> dcholcoa_x + h2o_x + ppcoa_x
MDHm,Malate dehydrogenase  mitochondrial,,500.71399851157906,15.662490704090196,485.05150780748886,mal__L_m + nad_m <=> h_m + nadh_m + oaa_m
O2tm,O2 transport  diffusion,,532.8898984986894,52.91211586901764,479.97778262967176,o2_c <=> o2_m
PYRt2m,Pyruvate mitochondrial transport via proton symport,,473.1385480418201,0.0,473.1385480418201,h_c + pyr_c --> h_m + pyr_m
GLUt2m,"Amino acid transporter (glu-L), mitochondrial",,704.200981575356,241.48777258006473,462.7132089952912,glu__L_c + h_c <=> glu__L_m + h_m
GLY3Pt,Glycerol phopshate free diffusion,,448.92046558519036,-3.042012397219293e-16,448.92046558519036,glyc3p_x <=> glyc3p_c
r0202,Sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase Glycerophospholipid metabolism EC:1.1.1.8,,-448.9204655851903,3.042012397219293e-16,448.9204655851903,glyc3p_x + nad_x <=> dhap_x + h_x + nadh_x
G3PD1ir,Glycerol 3 phosphate dehydrogenase  NAD,,-448.9204655851903,0.0,448.9204655851903,dhap_c + h_c + nadh_c <=> glyc3p_c + nad_c
r1428,Free diffusion,,448.92046558519024,-3.042012397219293e-16,448.92046558519024,dhap_c <=> dhap_x
SUCD1m,Succinate dehydrogenase,,436.4916473765756,0.0,436.4916473765756,fad_m + succ_m <=> fadh2_m + fum_m
GLUDym,"Glutamate dehydrogenase (NADP), mitochondrial",,426.546648197276,0.0,426.546648197276,glu__L_m + h2o_m + nadp_m <=> akg_m + h_m + nadph_m + nh4_m
ARGGLUGLUt,"Transport of ArgGluGlu, Extracellular",,-424.3721972956584,0.0,424.3721972956584,arggluglu_e + h_e <=> arggluglu_c + h_c
ARGGLUGLUr,Metabolism (Formation/Degradation) of ArgGluGlu,,-424.37219729565834,0.0,424.37219729565834,arggluglu_c + 2.0 h2o_c <=> arg__L_c + 2.0 glu__L_c
PDHm,Pyruvate dehydrogenase,,422.7730121385893,15.542490704090206,407.2305214344991,coa_m + nad_m + pyr_m --> accoa_m + co2_m + nadh_m
r0698,Propanoyl Coenzyme A:Acetyl Coenzyme A C-Acyltransferase Bile Acid Biosynthesis,,493.3444441966492,94.01576826196471,399.3286759346845,dcholcoa_x + 4.0 h_x + ppcoa_x --> coa_x + dhcholestancoa_x + h2o_x
UMPK,UMP kinase,,-388.3565577669301,0.019999999999999938,388.3765577669301,atp_c + ump_c <=> adp_c + udp_c
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),,388.35655776693005,-0.009999999999999967,388.36655776693004,pi_c + uri_c <=> r1p_c + ura_c
DUTUP,DUTP:uridine 5'-phosphotransferase,,-388.35655776693005,0.0,388.35655776693005,dutp_c + uri_c <=> dudp_c + h_c + ump_c
URAt,Uracil transport via facilated diffusion,,-388.35655776693005,0.0,388.35655776693005,ura_e <=> ura_c
ACETONEt2m,Acetone mitochondrial transport via proton symport,,-387.31392709281306,0.0,387.31392709281306,acetone_c + h_c <=> acetone_m + h_m
ADCim,"Acetoacetate decarboxylation (irreversible), mitochondrial",,387.313927092813,0.0,387.313927092813,acac_m + h_m --> acetone_m + co2_m
HMGLm,Hydroxymethylglutaryl-CoA lyase,,387.313927092813,0.03000000000000001,387.28392709281303,hmgcoa_m --> acac_m + accoa_m
HXCOAtx,"Transport of Hexanoate, Peroxisome",,-383.35444645478515,0.0,383.35444645478515,hxcoa_x <=> hxcoa_c
HXCOAx,"Acylcoa Hydrolase, Peroxisome",,383.3544464547851,0.0,383.3544464547851,h2o_x + hxcoa_x <=> coa_x + h_x + hxa_x
FACOAE60,Fatty-acid-CoA thioesterase (hexanoate),,-383.35444645478503,0.0,383.35444645478503,h2o_c + hxcoa_c <=> coa_c + h_c + hxa_c
HXAt2,"Transport of Hexanoate (N-C6:0), Peroxisome",,383.35444645478503,0.0,383.35444645478503,hxa_x <=> hxa_c
G6PDH1er,"Glucose-6-phosphate dehydrogenase, endoplasmic reticulum",,369.41840986831244,0.0,369.41840986831244,g6p_r + nad_r <=> 6pgl_r + h_r + nadh_r
O2ter,O2  transport  endoplasmic reticulum,,369.4184098683124,0.0,369.4184098683124,o2_c <=> o2_r
HMCRNc,Formation of Homocitrulline,,-368.3213465682254,0.0,368.3213465682254,cbp_c + lys__L_c <=> h_c + hmcr_c + pi_c
HMCRNt,Transport of Homocitrulline,,-368.3213465682254,0.0,368.3213465682254,hmcr_c <=> hmcr_e
r0885,Mitochondrial Carrier (MC) TCDB:2.A.29.2.7,,-348.66969549606847,0.0,348.66969549606847,gthrd_c + pi_m <=> gthrd_m + pi_c
D_LACtm,D lactate transport  mitochondrial,,-348.66969549606824,0.0,348.66969549606824,h_c + lac__D_c <=> h_m + lac__D_m
HMR_3859,(R)-Lactate:Ferricytochrome-C 2-Oxidoreductase,,348.66969549606824,0.0,348.66969549606824,2.0 ficytC_m + lac__D_c --> 2.0 focytC_m + 2.0 h_c + pyr_c
HMR_8510,HMR 8510,,348.66969549606824,0.0,348.66969549606824,lgt__S_c <=> lgt__S_m
GLYOXm,Hydroxyacylglutathione hydrolase  mitochondrial,,348.66969549606824,0.0,348.66969549606824,h2o_m + lgt__S_m --> gthrd_m + h_m + lac__D_m
LGTHL,Lactoylglutathione lyase,,348.6696954960682,0.0,348.6696954960682,gthrd_c + mthgxl_c --> lgt__S_c
PGMT,Phosphoglucomutase,,342.5462533113181,0.0,342.5462533113181,g1p_c <=> g6p_c
ASPLYSHISr,Metabolism (Formation/Degradation) of AspLysHis,,-329.21568334253095,0.0,329.21568334253095,asplyshis_c + 2.0 h2o_c <=> asp__L_c + his__L_c + lys__L_c
ASPLYSHISt,"Transport of AspLysHis, Extracellular",,-329.21568334253095,0.0,329.21568334253095,asplyshis_e + h_e <=> asplyshis_c + h_c
r2420,Mitochondrial Carrier (MC) TCDB:2.A.29.2.7,,-550.5992326974699,-241.46777258006472,309.1314601174052,oxa_c + pi_m <=> oxa_m + pi_c
LEUTA,Leucine transaminase,,-309.10888858135536,0.010000000000000002,309.11888858135535,akg_c + leu__L_c <=> 4mop_c + glu__L_c
4MOPte,Transport of 4-methyl-2-oxopentanoate,,309.10888858135536,0.0,309.10888858135536,4mop_e <=> 4mop_c
r0463,"(S)-3-Hydroxy-3-methylglutaryl-CoA acetoacetyl-CoA-lyase (CoA-acetylating) Synthesis and degradation of ketone bodies / Valine, leucine and isoleucine degradation / Butanoate metabolism EC:2.3.3.10",,-308.32277677260754,0.0,308.32277677260754,coa_x + h_x + hmgcoa_x <=> aacoa_x + accoa_x + h2o_x
ACACT1x,Acetyl-CoA:acetyl-CoA C-acetyltransferase,,308.32277677260754,0.0,308.32277677260754,2.0 accoa_x --> aacoa_x + coa_x
HMGCOAtx,Hydroxymethylglutaryl-CoA reversible peroxisomal transport,,-308.3227767726075,-1.3662209241733292e-18,308.3227767726075,hmgcoa_c <=> hmgcoa_x
DADK,Deoxyadenylate kinase,,-298.31855414831693,0.009999999999999964,298.3285541483169,atp_c + damp_c <=> adp_c + dadp_c
PUNP1,Purine-nucleoside phosphorylase (Adenosine),,-298.3185541483169,0.009999999999999966,298.32855414831687,adn_c + pi_c <=> ade_c + r1p_c
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),,298.3185541483169,-0.009999999999999964,298.32855414831687,dad_2_c + pi_c <=> 2dr1p_c + ade_c
SK_nad_c,Sink nad[c],,-298.3185541483179,0.0,298.3185541483179,nad_c <=> 
NICRNtr,Transport of Nicotinate D-Ribonucleotide,,-298.31855414831745,0.0,298.31855414831745,nicrnt_e <=> nicrnt_c
NMNDA,Nicotinamide-nucleotide amidase,,298.31855414831745,0.0,298.31855414831745,h2o_c + nmn_c <=> nh4_c + nicrnt_c
NMNAT,Nicotinamide-nucleotide adenylyltransferase,,-298.3185541483174,0.0,298.3185541483174,atp_c + h_c + nmn_c <=> nad_c + ppi_c
NDPK8m,"Nucleoside-diphosphate kinase, mitochondria",,298.31855414831705,0.0,298.31855414831705,atp_m + dadp_m --> adp_m + datp_m
DM_datp_m,DATP demand,,298.31855414831705,0.0,298.31855414831705,datp_m --> 
DNDPt32m,DGDP transport via ATP antiport,,298.31855414831705,0.0,298.31855414831705,atp_m + dgdp_c --> atp_c + dgdp_m
DNDPt11m,DADP transport via dGDP antiport,,298.318554148317,0.0,298.318554148317,dadp_c + dgdp_m --> dadp_m + dgdp_c
NTD6,5'-nucleotidase (dAMP),,298.31855414831693,0.0,298.31855414831693,damp_c + h2o_c --> dad_2_c + pi_c
ADNK1m,"Adenosine kinase, mitochondria",,298.31855414831693,0.0,298.31855414831693,adn_m + atp_m --> adp_m + amp_m + h_m
ADNtm,"Equilibrative nucleoside transporter, mitochondrial",,298.3185541483169,0.0,298.3185541483169,adn_c <=> adn_m
r1813,Y+LAT2 Utilized transport,,294.0088057058296,0.0,294.0088057058296,leu__L_e + na1_e + phe__L_c --> leu__L_c + na1_c + phe__L_e
r1770,Y+LAT2 Utilized transport,,294.0088057058296,0.0,294.0088057058296,leu__L_c + na1_e + phe__L_e --> leu__L_e + na1_c + phe__L_c
ORN_Dtx,"Transport of Ornithine, Peroxisomal",,281.70055355920454,0.0,281.70055355920454,h_c + orn__D_x <=> h_x + orn__D_c
HMR_9179,HMR 9179,,281.70055355920454,0.0,281.70055355920454,orn__D_c <=> orn__D_x
3MOBte,Transport of 3-methyl-2-oxobutanoate,,277.65433337807934,0.0,277.65433337807934,3mob_e <=> 3mob_c
ACETONEt2,Acetone transport via proton symport,,-276.31112385311263,0.0,276.31112385311263,acetone_e + h_e <=> acetone_c + h_c
OCDCEAt,Octadecenoate  n C181  transport in via uniport,,269.7984417185069,0.0,269.7984417185069,ocdcea_e <=> ocdcea_c
FACOAE181,Fatty-acid-CoA thioesterase (octadecenoate),,-269.79844171850687,0.0,269.79844171850687,h2o_c + odecoa_c <=> coa_c + h_c + ocdcea_c
SK_odecoa_c,Sink odecoa[c],,261.16318026337507,0.0,261.16318026337507,odecoa_c <=> 
HMR_9626,HMR 9626,,-261.163180263375,0.0,261.163180263375,so4_r <=> so4_c
HMR_7949,HMR 7949,,-261.163180263375,0.0,261.163180263375,chsterols_c <=> chsterols_r
SOAT12,Sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1,,261.16318026337495,0.0,261.16318026337495,R2coa_hs_c + chsterol_c --> coa_c + xolest_hs_c
DHCR72r,7-dehydrocholesterol reductase,,261.16318026337495,0.0,261.16318026337495,7dhchsterol_r + h_r + nadph_r --> chsterol_r + nadp_r
7DHCHSTEROLtd,"Transport of Cholesta-5, 7-Dien-3Beta-Ol, Diffusion",,-261.16318026337495,0.0,261.16318026337495,7dhchsterol_c <=> 7dhchsterol_e
