model,condition,fraction_optimum,reaction,fva_minimum,fva_maximum,range
Human-GEM,StachysDose_High,0.95,MAR09808,-2.8,-2.2139,0.5861
Human-GEM,StachysDose_High,0.95,MAR09809,-1.6,-1.1937,0.4063
Human-GEM,StachysDose_High,0.95,MAR09058,35.3025,37.49,2.1875
Human-GEM,StachysDose_High,0.95,MAR09048,-47.5592,-38.3804,9.1788
Human-GEM,StachysDose_High,1.0,ATPM_added,178.7675,178.7675,0.0
Human-GEM,StachysDose_High,1.0,MAR09086,-8.0,-8.0,0.0
Human-GEM,StachysDose_High,1.0,MAR09808,-2.8,-2.8,0.0
Human-GEM,StachysDose_High,1.0,MAR09809,-1.6,-1.6,-0.0
Human-GEM,StachysDose_High,1.0,MAR09058,37.49,37.49,0.0
Human-GEM,StachysDose_High,1.0,MAR09048,-43.09,-40.59,2.5
